Tanggal,Open,High,Low,Close,Volume
02/05/2025,"6,766.795","6,818.280","6,765.831","6,815.730","19,620"
30/04/2025,"6,749.075","6,791.253","6,725.967","6,766.795","24,190"
29/04/2025,"6,722.966","6,763.887","6,724.318","6,749.075","20,762"
28/04/2025,"6,678.915","6,738.352","6,688.780","6,722.966","18,909"
25/04/2025,"6,613.478","6,683.361","6,640.778","6,678.915","18,959"
24/04/2025,"6,634.377","6,697.901","6,585.456","6,613.478","19,581"
23/04/2025,"6,538.266","6,642.915","6,588.257","6,634.377","20,911"
22/04/2025,"6,445.967","6,538.322","6,428.105","6,538.266","17,404"
21/04/2025,"6,438.269","6,472.538","6,406.803","6,445.967","14,314"
17/04/2025,"6,400.054","6,438.269","6,384.285","6,438.269","15,285"
16/04/2025,"6,441.683","6,469.597","6,373.790","6,400.054","28,793"
15/04/2025,"6,368.517","6,497.532","6,395.927","6,441.683","23,636"
14/04/2025,"6,262.226","6,404.070","6,225.337","6,368.517","22,433"
11/04/2025,"6,254.024","6,298.778","6,148.776","6,262.226","12,903"
10/04/2025,"5,967.988","6,310.825","6,188.670","6,254.024","21,975"
09/04/2025,"5,996.142","6,092.412","5,949.601","5,967.988","18,351"
08/04/2025,"6,510.620","6,036.554","5,882.605","5,996.142","22,381"
27/03/2025,"6,472.356","6,510.620","6,417.240","6,510.620","13,890"
26/03/2025,"6,235.619","6,489.149","6,312.967","6,472.356","30,382"
25/03/2025,"6,161.218","6,265.296","6,178.490","6,235.619","16,633"
24/03/2025,"6,258.179","6,269.904","5,967.194","6,161.218","14,170"
21/03/2025,"6,381.674","6,426.165","6,218.601","6,258.179","21,337"
20/03/2025,"6,311.660","6,446.889","6,353.694","6,381.674","16,172"
19/03/2025,"6,223.388","6,332.735","6,147.426","6,311.660","17,744"
18/03/2025,"6,471.947","6,465.224","6,011.842","6,223.388","28,511"
17/03/2025,"6,515.631","6,557.410","6,445.975","6,471.947","18,912"
14/03/2025,"6,647.417","6,632.078","6,514.692","6,515.631","14,575"
13/03/2025,"6,665.045","6,707.386","6,618.539","6,647.417","15,637"
12/03/2025,"6,545.850","6,665.045","6,566.203","6,665.045","18,247"
11/03/2025,"6,598.212","6,567.585","6,499.041","6,545.850","19,450"
10/03/2025,"6,636.000","6,629.442","6,568.126","6,598.212","18,645"
07/03/2025,"6,617.847","6,682.938","6,577.832","6,636.000","20,786"
06/03/2025,"6,531.399","6,667.893","6,573.799","6,617.847","15,426"
05/03/2025,"6,380.401","6,570.820","6,404.689","6,531.399","21,217"
04/03/2025,"6,519.658","6,528.969","6,361.404","6,380.401","21,189"
03/03/2025,"6,270.597","6,570.951","6,347.095","6,519.658","20,795"
28/02/2025,"6,485.448","6,447.883","6,246.279","6,270.597","21,478"
27/02/2025,"6,606.178","6,626.260","6,443.220","6,485.448","18,515"
26/02/2025,"6,587.087","6,682.869","6,547.241","6,606.178","18,673"
25/02/2025,"6,749.601","6,772.650","6,576.969","6,587.087","20,756"
24/02/2025,"6,803.001","6,818.794","6,732.409","6,749.601","32,364"
21/02/2025,"6,788.042","6,814.866","6,758.353","6,803.001","14,184"
20/02/2025,"6,794.868","6,836.723","6,755.430","6,788.042","18,004"
19/02/2025,"6,873.554","6,886.923","6,773.907","6,794.868","18,596"
18/02/2025,"6,830.882","6,908.700","6,830.776","6,873.554","22,251"
17/02/2025,"6,638.459","6,830.882","6,658.220","6,830.882","18,880"
14/02/2025,"6,613.568","6,679.397","6,609.671","6,638.459","14,073"
13/02/2025,"6,645.778","6,647.105","6,565.777","6,613.568","13,857"
12/02/2025,"6,531.990","6,645.778","6,537.476","6,645.778","16,260"
11/02/2025,"6,648.142","6,658.231","6,500.464","6,531.990","15,941"
10/02/2025,"6,742.576","6,713.952","6,585.985","6,648.142","17,118"
07/02/2025,"6,875.536","6,769.781","6,656.724","6,742.576","16,793"
06/02/2025,"7,024.228","7,033.619","6,830.112","6,875.536","19,545"
05/02/2025,"7,073.459","7,079.462","7,002.521","7,024.228","26,108"
04/02/2025,"7,030.058","7,125.943","7,037.625","7,073.459","26,075"
03/02/2025,"7,109.196","7,089.697","6,933.143","7,030.058","15,233"
31/01/2025,"7,073.478","7,174.745","7,095.678","7,109.196","15,194"
30/01/2025,"7,166.056","7,150.293","7,042.688","7,073.478","17,588"